COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"68000","桃園市","68000040","楊梅區",99.3000000000000000,2.59,2036.81,40.31,18.98,21.33,112.41,"113Y12M"
"68000","桃園市","68000050","蘆竹區",96.9600000000000000,2.56,2250.73,38.26,19.29,18.98,98.39,"113Y12M"
"68000","桃園市","68000060","大園區",102.4800000000000000,2.51,1008.85,40.09,18.75,21.34,113.78,"113Y12M"
"68000","桃園市","68000070","龜山區",96.9600000000000000,2.27,2553.47,39.25,17.20,22.06,128.27,"113Y12M"
"68000","桃園市","68000080","八德區",97.5800000000000000,2.56,6368.53,42.39,19.68,22.71,115.39,"113Y12M"
"68000","桃園市","68000090","龍潭區",98.3000000000000000,2.62,1691.65,43.43,17.97,25.47,141.74,"113Y12M"
"68000","桃園市","68000100","平鎮區",97.3300000000000000,2.64,4803.64,42.17,19.43,22.73,117.00,"113Y12M"
"68000","桃園市","68000110","新屋區",111.7600000000000000,2.63,580.93,46.15,16.02,30.13,188.10,"113Y12M"
"68000","桃園市","68000120","觀音區",106.2200000000000000,2.57,862.39,38.02,17.44,20.58,117.98,"113Y12M"
"68000","桃園市","68000130","復興區",108.9300000000000000,3.28,37.80,44.50,22.63,21.87,96.63,"113Y12M"
"66000","臺中市","66000010","中區",95.3500000000000000,2.10,20338.52,69.08,30.88,38.20,123.70,"113Y12M"
"66000","臺中市","66000020","東區",96.3700000000000000,2.41,8366.59,42.85,15.82,27.03,170.93,"113Y12M"
"66000","臺中市","66000030","南區",90.9400000000000000,2.34,18676.38,36.41,15.29,21.12,138.12,"113Y12M"
"66000","臺中市","66000040","西區",88.3900000000000000,2.32,19965.99,51.08,20.91,30.17,144.29,"113Y12M"
"66000","臺中市","66000050","北區",89.8400000000000000,2.24,20694.19,45.71,15.72,29.99,190.76,"113Y12M"
"66000","臺中市","66000060","西屯區",90.6100000000000000,2.39,5943.30,40.74,20.01,20.72,103.57,"113Y12M"
"66000","臺中市","66000070","南屯區",89.9700000000000000,2.43,5924.67,38.85,20.80,18.05,86.79,"113Y12M"
